Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Latitude,Longitude,Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Emergency Level,Equipment or component involved,Repair type,Repair date,Equipment or component has never been inspected,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type
Fatality,3/24/2008,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,51.92095,-109.17023,Not Applicable,Not Applicable,Yes,2008,2008/03/24 09:50:00 AM Mountain,2008/03/24 09:50:00 AM Mountain,"Substandard Acts, Failing to use PPE properly;Substandard Acts, Improper position for task;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Inadequate warning system","External Interference, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training",Inadequate Supervision,Maintenance,Employee / Contractor (Onsite),12/15/2010,No,No,Fatality,,,,No,,,Construction,1,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,4/1/2008,Haileybury,Ontario,TransCanada PipeLines Limited,47.44678,-79.76267,Natural Gas - Sweet,Gas,No,2008,,2008/03/31 01:17:00 AM Mountain,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Construction,,7/23/2012,No,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,No,No,No,No,Level I,"Station/Facility, Compression, Fitting, Other (please explain)",Replacement,9/21/2008,No,,No,No,9/21/2008,Replacement
Release of Substance,4/18/2008,Kenora,Ontario,TransCanada PipeLines Limited,49.80823,-94.18954,Natural Gas - Sweet,Gas,No,2008,2008/04/16 02:30:00 PM Eastern,2008/04/16 02:30:00 PM Eastern,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Personal factors, Abuse or misuse, Improper conduct that is not condoned, Unintentional","Human Factors, Tools and Equipment",Maintenance,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Fitting, Nipple, Thread",Replacement,,No,,No,No,,Replacement
Release of Substance,4/21/2008,Regina,Saskatchewan,"Plains Marketing Canada, L.P.",50.48057,-104.56646,Crude Oil - Sweet,Liquid,No,2008,2008/04/21 07:00:00 AM Mountain,2008/04/21 07:00:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Crude Oil - Sweet,4,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,4/25/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.27973,-120.96341,Natural Gas - Sour,Gas,Yes,2008,2008/04/24 07:00:00 PM Pacific,2008/04/24 07:00:00 PM Pacific,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate communications, Inadequate communication methods ","Failure in communication, Human Factors",Operation,Employee / Contractor (Onsite),1/19/2011,Yes,No,Release of Substance,Natural Gas - Sour,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Fitting, Nipple, Body",Replacement,4/24/2008,No,,No,No,4/24/2008,Replacement
Release of Substance,4/25/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.33867,-121.87115,Natural Gas - Sour,Gas,Yes,2008,2008/04/15 12:00:00 PM Pacific,2008/04/15 12:00:00 PM Pacific,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Maintenance,Employee / Contractor (Onsite),8/15/2012,Yes,No,Release of Substance,Natural Gas - Sour,0,No,No,,,,,,,Canada,No,No,Yes,No,Level I,"Pipeline, Valve, Ball, Other (please explain)",Replacement,,No,,No,No,,Replacement
Fire,5/1/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,49.754,-101.239,Not Applicable,Not Applicable,No,2008,2008/05/01 02:00:00 PM Mountain,2008/05/01 02:00:00 PM Mountain,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Maintenance,Employee / Contractor (Onsite),7/23/2012,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,5/6/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,51.63826,-108.3544,Crude Oil - Sweet,Liquid,No,2008,2008/05/06 11:45:00 AM Mountain,2008/05/06 11:45:00 AM Mountain,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Crude Oil - Sweet,9.4,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Pumping, Piping",Replacement,,No,,No,No,,Replacement
Release of Substance,5/12/2008,Regina,Saskatchewan,Enbridge Pipelines Inc.,50.48386,-104.61447,Crude Oil - Sweet,Liquid,No,2008,2008/05/11 11:30:00 PM Mountain,2008/05/11 11:30:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),8/10/2011,Yes,No,Release of Substance,Crude Oil - Sweet,7,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Receiving, Valve, Pressure relief, Other (please explain)",Replacement,5/12/2008,No,,No,No,5/12/2008,Replacement
Fire,5/21/2008,Emerson,Manitoba,TransCanada PipeLines Limited,49.00106,-97.05547,Not Applicable,Not Applicable,No,2008,2008/05/18 01:35:00 PM Mountain,2008/05/18 01:35:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),3/27/2009,Yes,No,Fire,,,,No,,Under Investigation or Unknown,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Auxiliary power unit",Replacement,,No,,No,No,,Replacement
Adverse Environmental Effects,5/31/2008,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.47564,-120.37265,Not Applicable,Not Applicable,Yes,2008,2008/05/31 01:15:00 PM Mountain,2008/05/31 01:15:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,3rd Party / Other Company,11/13/2012,No,No,Adverse Environmental Effects,,,,No,,,,,,,Canada,Yes,Yes,No,No,Level I,,,,No,,No,No,,
Release of Substance,6/5/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,53.5431,-113.35401,Crude Oil - Sweet,Liquid,No,2008,2008/06/05 07:20:00 PM Mountain,2008/06/05 07:20:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Crude Oil - Sweet,8,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Storage, Tank, Aboveground",Removal,6/5/2008,No,,No,No,6/5/2008,Repair
Release of Substance,6/6/2008,Maple,Ontario,TransCanada PipeLines Limited,43.87378,-79.57985,Natural Gas - Sweet,Gas,No,2008,2008/06/06 11:23:00 AM Eastern,2008/06/06 11:23:00 AM Eastern,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Natural Gas - Sweet,270,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Adverse Environmental Effects,6/9/2008,Not specified,New Brunswick,Emera Brunswick Pipeline Company Ltd.,45.21594,-66.71029,Not Applicable,Not Applicable,Yes,2008,2008/06/09 03:20:00 PM Atlantic,2008/06/09 03:20:00 PM Atlantic,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Construction,Employee / Contractor (Onsite),7/27/2012,Yes,No,Adverse Environmental Effects,,,,No,,,,,,,Canada,No,No,No,Yes,Level I,Vehicle / mobile equipment,,,No,,No,No,,
Release of Substance,6/12/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,49.91204,-98.51757,Natural Gas - Sweet,Gas,No,2008,2008/06/12 12:00:00 AM Mountain,2008/06/12 05:20:00 AM Central,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,Operation,Public,7/15/2015,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve, Pressure relief, Other (please explain)",Rebuilt,6/12/2008,No,,No,No,6/12/2008,Repair
Fire,6/24/2008,Moyie,British Columbia,TransCanada PipeLines Limited,49.28795,-115.83383,Not Applicable,Not Applicable,No,2008,2008/06/23 08:06:00 PM Pacific,2008/06/23 08:06:00 PM Pacific,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Compressor",Replacement,,No,,No,No,,Replacement
Fatality,6/25/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,51.63833,-108.35487,Not Applicable,Not Applicable,Yes,2008,2008/06/24 04:30:00 PM Mountain,2008/06/24 04:30:00 PM Mountain,"Substandard Acts, Failure to secure;Substandard Acts, Failing to use PPE properly;Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Inadequate Supervision, Standards and Procedures",Construction,Employee / Contractor (Onsite),12/15/2010,No,No,Fatality,,,,No,,,Vehicle Accident,1,,,Canada,No,Yes,No,Yes,Level III,,,,No,,No,No,,
Release of Substance,7/6/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,53.54745,-113.35577,Crude Oil - Synthetic,Liquid,No,2008,2008/07/06 12:00:00 AM Mountain,2008/07/06 09:00:00 AM Mountain,"Substandard Acts, Failure to warn",Incorrect Operation,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Crude Oil - Synthetic,40,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Storage, Tank, Aboveground",Removal,,No,,No,No,,Repair
Release of Substance,7/17/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,50.20731,-101.48747,Natural Gas - Sweet,Gas,No,2008,2008/07/16 12:00:00 AM Mountain,2008/07/16 09:40:00 AM Mountain,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Personal factors, Abuse or misuse, Improper conduct that is condoned, Intentional",Human Factors,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Compressor",Replacement,7/16/2008,No,,No,No,7/16/2008,Replacement
Release of Substance,7/18/2008,Alameda,Saskatchewan,Alliance Pipeline Ltd.,49.31834,-102.28983,Natural Gas - Sweet,Gas,No,2008,2008/07/09 12:00:00 AM Mountain,2008/07/09 03:30:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,Operation,Employee / Contractor (Onsite),7/15/2015,Yes,No,Release of Substance,Natural Gas - Sweet,800,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve",Rebuilt,7/9/2008,No,,No,No,7/9/2008,Repair
Release of Substance,7/23/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,53.5416,-113.36454,Diesel Fuel,Liquid,No,2008,2008/07/23 08:30:00 AM Mountain,2008/07/23 08:30:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),8/1/2012,Yes,No,Release of Substance,Diesel Fuel,2,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Storage, Tank, Aboveground",Replacement,8/12/2008,No,,No,No,8/12/2008,Replacement
Release of Substance,7/31/2008,Hearst,Ontario,TransCanada PipeLines Limited,49.79469,-85.85655,Natural Gas - Sweet,Gas,No,2008,2008/07/29 11:00:00 AM Mountain,2008/07/29 11:00:00 AM Mountain,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Replacement,,No,,No,No,,Replacement
Release of Substance,8/8/2008,Herbert,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,50.539202,-107.30766,Propane,Gas,No,2008,2008/07/12 12:00:00 AM Mountain,2008/07/12 12:00:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Excessive wear and tear, Use for wrong purpose",Maintenance,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Propane,0.5,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Pumping, Pump",Replacement,7/13/2008,No,,No,No,7/13/2008,Replacement
Serious Injury (CER or TSB),8/15/2008,Valemount,British Columbia,Trans Mountain Pipeline ULC,53.024796,-119.151198,Not Applicable,Not Applicable,Yes,2008,2008/08/14 08:00:00 PM Mountain,2008/08/14 08:00:00 PM Mountain,"Substandard Acts, Using defective equipment;Substandard Acts, Improper placement;Substandard Acts, Using equipment improperly",Incorrect Operation,"Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications;Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Maintenance, Standards and Procedures, Tools and Equipment",Construction,Employee / Contractor (Onsite),12/15/2010,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,No,No,Yes,No,Level III,,,,No,,No,No,,
Fire,8/26/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,51.10223,-106.35299,Not Applicable,Not Applicable,No,2008,2008/08/25 02:10:00 PM Central,2008/08/25 02:10:00 PM Central,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Construction,Employee / Contractor (Onsite),8/15/2012,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,No,No,Yes,Yes,Level I,Vehicle / mobile equipment,,,No,,No,No,,
Fire,9/4/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,51.44373,-107.37839,Not Applicable,Not Applicable,No,2008,2008/09/04 11:43:00 AM Central,2008/09/04 11:43:00 AM Central,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Maintenance,Employee / Contractor (Onsite),12/21/2010,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,8/28/2008,Vermilion Bay,Ontario,TransCanada PipeLines Limited,49.85542,-93.36393,Natural Gas - Sweet,Gas,No,2008,2008/08/28 11:30:00 AM Eastern,2008/08/28 11:30:00 AM Eastern,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),1/19/2011,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,No,No,Yes,No,Level I,"Pipeline, Pipe, Body",,,No,,No,No,,
Release of Substance,9/5/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14631,-120.6692,Butane,Gas,No,2008,2008/09/05 12:00:00 AM Mountain,2008/09/05 07:00:00 AM Pacific,"Damage or deterioration mechanism, External Interference, Company Contractor",External Interference,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Construction,,7/27/2012,Yes,No,Release of Substance,Butane,0.1,No,No,,,,,,,Canada,No,No,No,No,Level I,Processing Plant,Replacement,,No,,No,No,,Replacement
Serious Injury (CER or TSB),9/16/2008,Pennfield,New Brunswick,Emera Brunswick Pipeline Company Ltd.,45.1982,-66.6422,Not Applicable,Not Applicable,Yes,2008,2008/09/15 12:00:00 AM Mountain,2008/09/15 12:00:00 AM Mountain,"Substandard Conditions, Defective tools, equipment or materials",External Interference,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),7/27/2012,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,Yes,No,No,No,Level I,,Replacement,,No,,No,No,,Replacement
Serious Injury (CER or TSB),9/16/2008,Valemount,British Columbia,Trans Mountain Pipeline Inc.,52.83128,-119.2645,Not Applicable,Not Applicable,Yes,2008,2008/09/16 05:00:00 PM Pacific,2008/09/16 05:00:00 PM Pacific,"Substandard Conditions, Weather Related, Adverse weather;Substandard Acts, Failure to warn;Substandard Acts, Failure to secure;Substandard Acts, Improper placement;Substandard Acts, Improper position for task;Substandard Acts, Using equipment improperly","External Interference, Incorrect Operation","Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications","Engineering and Planning, Human Factors, Inadequate Supervision, Tools and Equipment",Construction,Employee / Contractor (Onsite),11/4/2008,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
